,course_title,course_organization
0,Bachelor of Applied Arts and Sciences,University of North Texas
1,Master of Science in Electrical Engineering,University of Colorado Boulder
2,Master of Machine Learning and Data Science,Imperial College London
3,Master of Science in Management,University of Illinois at Urbana-Champaign
4,Master of Finance,HSE University
5,Master of Computer Vision,HSE University
6,Master of Business Analytics,HSE University
7,Master of Public Health,University of Michigan
8,Master of Computer Science,University of Illinois at Urbana-Champaign
9,Master of Computer and Information Technology,University of Pennsylvania
10,Maestría en Dirección de Empresas (MBA),Universidad de Palermo
11,Master of Business Administration,Fundação Instituto de Administração
12,MBA Business Analytics,O.P. Jindal Global University
13,Master of Science in Data Science,University of Colorado Boulder
14,Master of Science in Population and Health Sciences,University of Michigan
15,Master of Data Science,HSE University
16,Master of Data and Network Analytics,HSE University
17,Master of Computer Science,Arizona State University
18,Master of Applied Data Science,University of Michigan
19,Maestría en Ingeniería de Software,Universidad de los Andes
20,Maestría en Inteligencia Analítica de Datos,Universidad de los Andes
21,M.A. Public Policy,O. P. Jindal Global University
22,"M.A. in International Relations, Security, and Strategy",OP Jindal Global University
23,Global MA in English Language Teaching Leadership,Tomsk State University
24,Master of Science in Accounting,University of Illinois at Urbana-Champaign
25,Global Master of Public Health,Imperial College London
26,Global Master of Business Administration (MBA),Macquarie University
27,Bachelor of Science in Marketing,University of London
28,Bachelor of Science in Computer Science,University of London
29,MSc in Innovation and Entrepreneurship,HEC Paris
30,Master of Computer Science in Data Science,University of Illinois
31,Master of Business Administration (iMBA),University of Illinois
