,course_title,course_organization,course_rating,course_difficulty,course_students_enrolled
0,Google Data Analytics,Google,4.8,Beginner,380K
1,Google Project Management:,Google,4.8,Beginner,260K
2,IBM Data Science,IBM,4.6,Beginner,900K
3,Google UX Design,Google,4.8,Beginner,220K
4,Google IT Support,Google,4.8,Beginner,1M
5,IBM Data Analyst,IBM,4.6,Beginner,580K
6,IBM Data Engineering,IBM,4.6,Beginner,420K
7,IBM Data Analytics with Excel and R,IBM,4.7,Beginner,130K
8,Google IT Automation with Python,Google,4.7,Beginner,470K
9,IBM Full Stack Cloud Developer,IBM,4.6,Beginner,380K
10,IBM Cybersecurity Analyst,IBM,4.5,Beginner,200K
11,IBM Applied AI,IBM,4.6,Beginner,460K
12,Facebook Social Media Marketing,Facebook,4.8,Beginner,160K
13,DeepLearning.AI TensorFlow Developer,DeepLearning.AI,4.7,Intermediate,300K
14,Preparing for Google Cloud Certification: Cloud Architect,Google Cloud,4.7,Intermediate,560K
15,Preparing for Google Cloud Certification: Cloud Engineer,Google Cloud,4.7,Intermediate,560K
16,IBM AI Engineering,IBM,4.6,Intermediate,260K
17,UCI Project Management,"University of California, Irvine",4.7,Beginner,
18,Preparing for Google Cloud Certification: Cloud Security Engineer,Google Cloud,4.7,Intermediate,540K
19,Preparing for Google Cloud Certification: Cloud Network Engineer,Google Cloud,4.7,Intermediate,530K
20,Preparing for Google Cloud Certification: Cloud DevOps Engineer,Google Cloud,4.7,Beginner,600K
21,Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud,4.6,Intermediate,320K
22,Intuit Bookkeeping,Intuit,4.4,Beginner,11K
23,Preparing for Google Cloud Certification: Cloud Data Engineer,Google Cloud,4.6,Intermediate,230K
24,IBM Machine Learning,IBM,4.6,Intermediate,25K
25,Arizona State University TESOL,Arizona State University,4.9,Beginner,230K
26,Google Cloud Digital Leader Training,Google Cloud,4.7,Beginner,21K
27,SAS Programmer,SAS,4.8,Beginner,66K
28,Salesforce Sales Operations,Salesforce,4.6,Beginner,5K
29,Salesforce Sales Development Representative,Salesforce,4.5,Beginner,15K
30,Soporte de Tecnologías de la Información de Google,Crece con Google,4.9,Beginner,66K
31,Ciencia de Datos de IBM,IBM,4.6,Beginner,4.5K
32,Analista de Datos de IBM,IBM,4.4,Beginner,6.5K
33,SAS Visual Business Analytics,SAS,4.7,Beginner,24K
34,SAS Advanced Programmer,SAS,4.9,Intermediate,7.3K
35,IBM z/OS Mainframe Practitioner,IBM,4.7,Intermediate,14K
36,Preparing for Google Cloud Certification: Cloud Architect Professional Certificate 日本語版,Google Cloud,4.5,Intermediate,7.7K
37,Palo Alto Networks Cybersecurity,Palo Alto Networks,4.8,Beginner,1.5K
38,Suporte em TI do Google,Cresça com o Google,4.9,Beginner,15K
39,Bases de Inteligencia Artificial para Todos,IBM,4.7,Beginner,5.8K
40,Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate 日本語版,Google Cloud,4.5,Intermediate,4.1K
41,ICPM Certified Supervisor,Institute of Certified Professional Managers,4.8,Beginner,11K
42,IT-поддержка Google,Google,4.7,Beginner,
43,Google شهادة تقنية المعلومات من,Google,4.5,Beginner,
44,Marketing en redes sociales de Facebook,Facebook,4.8,Beginner,1.9K
45,SAS Statistical Business Analyst,SAS,4.6,Intermediate,4.7K
46,Representante de desarrollo de ventas de Salesforce,Salesforce,,Beginner,
47,CertNexus Certified Artificial Intelligence Practitioner,CertNexus,4.7,Intermediate,3.4K
48,CertNexus Certified Ethical Emerging Technologist,CertNexus,4.6,Beginner,5.1K
49,Google IT Support (Deutsch),Google,4.8,Beginner,
50,Marketing de Mídias Sociais do Facebook,Facebook,,Beginner,
51,التسويق عبر وسائل التواصل الاجتماعي على فيسبوك,Facebook,,Beginner,
52,Apoio Técnico de TI da Google,Google,,Beginner,
53,Post Graduate Certificate in VLSI Design,IIT Roorkee,,,
54,Strategic Management Certificate,IIM Kozhikode,,,
55,Product Management Certificate,IIM Kozhikode,,,
56,Power Electronics and Motors for Electric Vehicles (EVs) Certificate,IIT Bombay,,,
57,Marketing Strategy Certificate,IIM Kozhikode,,,
58,Management Science Certificate,IIM Calcutta,,,
59,Post Graduate Certificate in 5G Technologies and IoT,IIT Roorkee,,,
60,Digital Transformation Certificate,IIT Bombay,,,
61,Data-Driven Decision Making Certificate,IIM Kozhikode,,,
62,Business Management Certificate,IIM Kozhikode,,,
63,Post Graduate Certificate in Advanced Machine Learning & AI,IIT Roorkee,,,
